property_id,check_in_date,room_category,successful_bookings,capacity,date,mmm_yy,week_no,day_type
19558,2022-05-01,RT4,4,7,2022-05-01,22-May,W 19,weekend
19558,2022-05-02,RT4,4,7,2022-05-02,22-May,W 19,weekeday
19558,2022-05-03,RT4,3,7,2022-05-03,22-May,W 19,weekeday
19558,2022-05-04,RT4,3,7,2022-05-04,22-May,W 19,weekeday
19558,2022-05-05,RT4,3,7,2022-05-05,22-May,W 19,weekeday
19558,2022-05-06,RT4,3,7,2022-05-06,22-May,W 19,weekeday
19558,2022-05-07,RT4,4,7,2022-05-07,22-May,W 19,weekend
19558,2022-05-08,RT4,5,7,2022-05-08,22-May,W 20,weekend
19558,2022-05-09,RT4,3,7,2022-05-09,22-May,W 20,weekeday
19558,2022-05-10,RT4,3,7,2022-05-10,22-May,W 20,weekeday
19558,2022-05-11,RT4,3,7,2022-05-11,22-May,W 20,weekeday
19558,2022-05-12,RT4,3,7,2022-05-12,22-May,W 20,weekeday
19558,2022-05-13,RT4,3,7,2022-05-13,22-May,W 20,weekeday
19558,2022-05-14,RT4,4,7,2022-05-14,22-May,W 20,weekend
19558,2022-05-15,RT4,3,7,2022-05-15,22-May,W 21,weekend
19558,2022-05-16,RT4,3,7,2022-05-16,22-May,W 21,weekeday
19558,2022-05-17,RT4,3,7,2022-05-17,22-May,W 21,weekeday
19558,2022-05-18,RT4,3,7,2022-05-18,22-May,W 21,weekeday
19558,2022-05-19,RT4,3,7,2022-05-19,22-May,W 21,weekeday
19558,2022-05-20,RT4,2,7,2022-05-20,22-May,W 21,weekeday
19558,2022-05-21,RT4,3,7,2022-05-21,22-May,W 21,weekend
19558,2022-05-22,RT4,5,7,2022-05-22,22-May,W 22,weekend
19558,2022-05-23,RT4,3,7,2022-05-23,22-May,W 22,weekeday
19558,2022-05-24,RT4,3,7,2022-05-24,22-May,W 22,weekeday
19558,2022-05-25,RT4,3,7,2022-05-25,22-May,W 22,weekeday
19558,2022-05-26,RT4,3,7,2022-05-26,22-May,W 22,weekeday
19558,2022-05-27,RT4,3,7,2022-05-27,22-May,W 22,weekeday
19558,2022-05-28,RT4,5,7,2022-05-28,22-May,W 22,weekend
19558,2022-05-29,RT4,4,7,2022-05-29,22-May,W 23,weekend
19558,2022-05-30,RT4,3,7,2022-05-30,22-May,W 23,weekeday
19558,2022-05-31,RT4,3,7,2022-05-31,22-May,W 23,weekeday
19558,2022-06-01,RT4,2,7,2022-06-01,22-Jun,W 23,weekeday
19558,2022-06-02,RT4,3,7,2022-06-02,22-Jun,W 23,weekeday
19558,2022-06-03,RT4,2,7,2022-06-03,22-Jun,W 23,weekeday
19558,2022-06-04,RT4,3,7,2022-06-04,22-Jun,W 23,weekend
19558,2022-06-05,RT4,4,7,2022-06-05,22-Jun,W 24,weekend
19558,2022-06-06,RT4,4,7,2022-06-06,22-Jun,W 24,weekeday
19558,2022-06-07,RT4,3,7,2022-06-07,22-Jun,W 24,weekeday
19558,2022-06-08,RT4,3,7,2022-06-08,22-Jun,W 24,weekeday
19558,2022-06-09,RT4,3,7,2022-06-09,22-Jun,W 24,weekeday
19558,2022-06-10,RT4,3,7,2022-06-10,22-Jun,W 24,weekeday
19558,2022-06-11,RT4,4,7,2022-06-11,22-Jun,W 24,weekend
19558,2022-06-12,RT4,5,7,2022-06-12,22-Jun,W 25,weekend
19558,2022-06-13,RT4,3,7,2022-06-13,22-Jun,W 25,weekeday
19558,2022-06-14,RT4,3,7,2022-06-14,22-Jun,W 25,weekeday
19558,2022-06-15,RT4,3,7,2022-06-15,22-Jun,W 25,weekeday
19558,2022-06-16,RT4,3,7,2022-06-16,22-Jun,W 25,weekeday
19558,2022-06-17,RT4,4,7,2022-06-17,22-Jun,W 25,weekeday
19558,2022-06-18,RT4,4,7,2022-06-18,22-Jun,W 25,weekend
19558,2022-06-19,RT4,3,7,2022-06-19,22-Jun,W 26,weekend
19558,2022-06-20,RT4,3,7,2022-06-20,22-Jun,W 26,weekeday
19558,2022-06-21,RT4,3,7,2022-06-21,22-Jun,W 26,weekeday
19558,2022-06-22,RT4,3,7,2022-06-22,22-Jun,W 26,weekeday
